2024-07-26 19:10:07.658 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-26 19:10:07.721 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-26 19:10:08.133 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5555"]
2024-07-26 19:10:08.144 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5555 (http) with context path '/'
2024-07-26 19:10:08.151 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Started LeptonApplicationKt in 2.672 seconds (process running for 3.066)
2024-07-26 19:10:09.648 [http-nio-5555-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-26 19:10:09.648 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-26 19:10:09.649 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-07-26 19:10:51.473 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Starting LeptonApplicationKt using Java 17.0.10 with PID 5079 (/Users/yangyang/Projects/lepton/lepton-application/build/classes/kotlin/main started by yangyang in /Users/yangyang/Projects/lepton)
2024-07-26 19:10:51.473 [main] INFO  com.leuan.lepton.LeptonApplicationKt - The following 1 profile is active: "dev"
2024-07-26 19:10:51.896 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-26 19:10:51.923 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 2 JPA repository interfaces.
2024-07-26 19:10:52.144 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5555 (http)
2024-07-26 19:10:52.150 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5555"]
2024-07-26 19:10:52.150 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-26 19:10:52.150 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-07-26 19:10:52.176 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-26 19:10:52.176 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 685 ms
2024-07-26 19:10:52.237 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-26 19:10:52.263 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-07-26 19:10:52.277 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-07-26 19:10:52.463 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-26 19:10:52.474 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-07-26 19:10:52.629 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2ac3d530
2024-07-26 19:10:52.630 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-07-26 19:10:53.030 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-26 19:10:53.099 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-26 19:10:53.467 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5555"]
2024-07-26 19:10:53.473 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5555 (http) with context path '/'
2024-07-26 19:10:53.478 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Started LeptonApplicationKt in 2.245 seconds (process running for 2.427)
2024-07-26 19:11:39.508 [http-nio-5555-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-26 19:11:39.508 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-26 19:11:39.509 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-07-26 19:13:50.650 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Starting LeptonApplicationKt using Java 17.0.10 with PID 5128 (/Users/yangyang/Projects/lepton/lepton-application/build/classes/kotlin/main started by yangyang in /Users/yangyang/Projects/lepton)
